,,,,,,EUR,"4,40",USD,"3,7",,,,,,,,,,,,,,,,,,,,
kod,data,status,Kto_odpowiedzialny,nazwa oferty,Link,Koszty_zbiorcze,transport,Zakwaterowanie,Pilotaż,Inne,koszta stałe,Wpływy,wpływy dodatkowe,ilosc osób spodziewanych,ilość osob zakontraktowanych,realna_liczba_osób,kraj,dlugość wycieczki w dniach,cena zwykla,cena first minute,czy stacjonarna,czy przejazdowa,czy samolot,czy rejs,czy autokar,sezon,ilosc gwiazdek w hotelu,City Breaki,czy tygodniowa badz
SGR03,2018-07-02,0,ŁR,(ID1291) Grecja | Kokkino Nero | 12 dni,https://docs.google.com/spreadsheets/d/1Itp3gsbuKTQI4A3msgFXcjStTyQnDa1oOevQxp-kao8/edit#gid=70484913,"9 240,00 zł","0,00 zł","9 240,00 zł","0,00 zł","0,00 zł",0,"0,00 zł","0,00 zł",40,0,,Grecja,12,899,599,1,0,0,0,1,Lato,0,,1
ASP01,2018-07-03,1,ŁR,(ID1268) Bułgaria | Złote Piaski | (All inclusive) #Samolot | Gladiola,https://docs.google.com/spreadsheets/d/1NweUBGI98lOoydGVuQWoGlxL-rzhWO-apDFTMdCeyoA/edit#gid=2121134962,"54 642,11 zł","20 498,18 zł","24 182,40 zł","1 300,00 zł","8 661,53 zł","2073,81","37 424,00 zł","7 448,80 zł",40,0,,Bułgaria,7,2099,1799,1,,1,0,0,Lato,3,,1
SYY01,2018-07-03,0,MM,(ID1261) Hiszpania | Lloret de Mar (HB | 10 dni),,"82,00 zł","0,00 zł","0,00 zł","0,00 zł","82,00 zł",0,"0,00 zł","0,00 zł",45,0,,HISZPANIA,10,1599,1399,1,0,0,0,1,LATO,3,0,1
SAS01,2018-07-04,0,IG,(ID1283) Albania | Shëngjin + Ohrid (BB | 12 dni),,"0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł",0,"0,00 zł","0,00 zł",0,0,,,,,,,,,,,,,,
SBU02,2018-07-04,1,MM,(ID1255) Czarnogóra | Budva + Dubrovnik (BB | 10 dni),https://docs.google.com/spreadsheets/d/1G3AdbRtMURmrMnNRby4Kpa8x3UXWCh6StT2DN889uCU/edit#gid=2121134962,"39 188,71 zł","7 304,10 zł","15 734,40 zł","2 484,00 zł","13 666,21 zł","2642,86","38 476,40 zł","14 122,20 zł",50,48,,CZARNOGÓRA,10,999,799,1,0,0,0,1,LATO,0,0,1
SSE02,2018-07-04,1,IG,(ID1262) Albania | Shëngjin (All Inclusive Light | 10 dni),https://docs.google.com/spreadsheets/d/1FQ3lCfW74DwvJBE7pdGYiMXLHZLpKwP-IqHN9qzf2AY/edit#gid=221275488,"53 402,60 zł","15 457,20 zł","29 497,60 zł","1 421,00 zł","7 026,80 zł","3118,95","47 237,00 zł","6 248,00 zł",37,37,,ALBANIA,10,1249,1149,1,0,0,0,1,LATO,4,0,1
SVV05,2018-07-04,1,MM,(ID1290) Grecja | Korfu | Kavos #Samolot,https://docs.google.com/spreadsheets/d/1xqSJZsQSTtem_dZdmXlZ4_x5k4744KYxO92G0DhprrI/edit#gid=2121134962,"29 295,37 zł","16 789,26 zł","8 140,00 zł","1 144,00 zł","3 222,11 zł","1580,39","31 235,00 zł","6 490,00 zł",20,20,,GRECJA,8,1699,1499,1,0,1,0,0,LATO,3,0,1
SBB01,2018-07-05,1,MM,(ID1292) Czarnogóra | Budva #Samolot,https://docs.google.com/spreadsheets/d/1S1gPOsto5z_-lwEUQqkGoUOfcR0SYlMCnsRp3P0A8JE/edit#gid=1805198381,"33 111,64 zł","15 692,52 zł","15 215,20 zł","1 144,00 zł","1 059,92 zł","2011,35","33 918,00 zł","8 324,80 zł",20,20,,CZAROGÓRA,8,1899,1699,1,0,1,0,0,LATO,3,0,1
SSA01,2018-07-05,1,IG,(ID1273) Albania | Shëngjin (All Inclusive Light) | #Samolot,https://docs.google.com/spreadsheets/d/116pjE41WwJifq1h2gRRzt1JSXDBe9ZRXhAvaScgDhfg/edit#gid=1626993402,"35 075,02 zł","15 231,80 zł","17 072,00 zł","1 039,50 zł","1 731,72 zł","2041,93","39 325,00 zł","444,40 zł",20,20,,ALBANIA,8,2199,1999,1,0,1,0,0,LATO,4,0,1
SBZ03,2018-07-06,1,ŁR,(ID1267) Bułgaria | Złote Piaski (All Inclusive | 10 dni),https://docs.google.com/spreadsheets/d/1A1LZFRn3lQEaplhVTT8_tYRraqgMXg1YAihCOhgHy58/edit#gid=817457798,"86 542,64 zł","19 045,60 zł","64 741,60 zł","1 603,00 zł","1 152,44 zł",0,"104 726,90 zł","176,00 zł",60,0,,Bułgaria,10,1399,1099,1,0,0,0,1,Lato,3,,1
